School,rank,salary type,salary
peer school,all_fac_2020,real salaries,115573
peer school,full_2020,real salaries,155833
peer school,assoc_2020,real salaries,110986
peer school,assist_2020,real salaries,93329
peer school,all_fac_2020,cola-adjusted salaries,125628.26406
peer school,full_2020,cola-adjusted salaries,142275.13641
peer school,assoc_2020,cola-adjusted salaries,101330.48277
peer school,assist_2020,cola-adjusted salaries,85859.1904323827
peer school,all_fac_2020,real salaries,101539
peer school,full_2020,real salaries,134487
peer school,assoc_2020,real salaries,105217
peer school,assist_2020,real salaries,85862
peer school,all_fac_2020,cola-adjusted salaries,115652.45401
peer school,full_2020,cola-adjusted salaries,153180.84107
peer school,assoc_2020,cola-adjusted salaries,119842.08327
peer school,assist_2020,cola-adjusted salaries,85861.9
peer school,all_fac_2020,real salaries,114601
peer school,full_2020,real salaries,146857
peer school,assoc_2020,real salaries,113680
peer school,assist_2020,real salaries,91352
peer school,all_fac_2020,cola-adjusted salaries,107266.12416
peer school,full_2020,cola-adjusted salaries,137458.09584
peer school,assoc_2020,cola-adjusted salaries,106404.65784
peer school,assist_2020,cola-adjusted salaries,85505.66856
peer school,all_fac_2020,real salaries,117620.1
peer school,full_2020,real salaries,141305.4
peer school,assoc_2020,real salaries,107210.25
peer school,assist_2020,real salaries,88513.61
peer school,all_fac_2020,cola-adjusted salaries,114797.2176
peer school,full_2020,cola-adjusted salaries,137914.0704
peer school,assoc_2020,cola-adjusted salaries,104637.204
peer school,assist_2020,cola-adjusted salaries,86389.28336
peer school,all_fac_2020,real salaries,138183.2
peer school,full_2020,real salaries,176097.86
peer school,assoc_2020,real salaries,128041.61
peer school,assist_2020,real salaries,108669.75
peer school,all_fac_2020,cola-adjusted salaries,47396.8376
peer school,full_2020,cola-adjusted salaries,60401.56598
peer school,assoc_2020,cola-adjusted salaries,43918.27223
peer school,assist_2020,cola-adjusted salaries,37273.72425
peer school,all_fac_2020,real salaries,111341.34
peer school,full_2020,real salaries,145970.84
peer school,assoc_2020,real salaries,105841.43
peer school,assist_2020,real salaries,88083.89
peer school,all_fac_2020,cola-adjusted salaries,135057.04542
peer school,full_2020,cola-adjusted salaries,177062.62892
peer school,assoc_2020,cola-adjusted salaries,128385.65459
peer school,assist_2020,cola-adjusted salaries,106845.75857
peer school,all_fac_2020,real salaries,109417.39
peer school,full_2020,real salaries,151653.61
peer school,assoc_2020,real salaries,108479.27
peer school,assist_2020,real salaries,92464.38
peer school,all_fac_2020,cola-adjusted salaries,126267.66806
peer school,full_2020,cola-adjusted salaries,175008.26594
peer school,assoc_2020,cola-adjusted salaries,125185.07758
peer school,assist_2020,cola-adjusted salaries,106703.89452
Davidson,all_fac_2020,real salaries,102411.45
Davidson,full_2020,real salaries,134729.29
Davidson,assoc_2020,real salaries,98242.92
Davidson,assist_2020,real salaries,79876.9
Davidson,all_fac_2020,cola-adjusted salaries,85206.3264
Davidson,full_2020,cola-adjusted salaries,112094.76928
Davidson,assoc_2020,cola-adjusted salaries,81738.10944
Davidson,assist_2020,cola-adjusted salaries,66457.5808
peer school,all_fac_2020,real salaries,87946.7
peer school,full_2020,real salaries,102722.95
peer school,assoc_2020,real salaries,82983.13
peer school,assist_2020,real salaries,70363.92
peer school,all_fac_2020,cola-adjusted salaries,97884.6771
peer school,full_2020,cola-adjusted salaries,114330.64335
peer school,assoc_2020,cola-adjusted salaries,92360.22369
peer school,assist_2020,cola-adjusted salaries,78315.04296
peer school,all_fac_2020,real salaries,109613.09
peer school,full_2020,real salaries,139557.74
peer school,assoc_2020,real salaries,105907.67
peer school,assist_2020,real salaries,87727.22
peer school,all_fac_2020,cola-adjusted salaries,132412.61272
peer school,full_2020,cola-adjusted salaries,168585.74992
peer school,assoc_2020,cola-adjusted salaries,127936.46536
peer school,assist_2020,cola-adjusted salaries,105974.48176
peer school,all_fac_2020,real salaries,107611.34
peer school,full_2020,real salaries,142149.28
peer school,assoc_2020,real salaries,108150
peer school,assist_2020,real salaries,88382.78
peer school,all_fac_2020,cola-adjusted salaries,133976.1183
peer school,full_2020,cola-adjusted salaries,176975.8536
peer school,assoc_2020,cola-adjusted salaries,134646.75
peer school,assist_2020,cola-adjusted salaries,110036.5611
peer school,all_fac_2020,real salaries,100982.76
peer school,full_2020,real salaries,131175.59
peer school,assoc_2020,real salaries,101031.32
peer school,assist_2020,real salaries,84959.35
peer school,all_fac_2020,cola-adjusted salaries,29890.89696
peer school,full_2020,cola-adjusted salaries,38827.97464
peer school,assoc_2020,cola-adjusted salaries,29905.27072
peer school,assist_2020,cola-adjusted salaries,25147.9676
peer school,all_fac_2020,real salaries,98937.34
peer school,full_2020,real salaries,126583.01
peer school,assoc_2020,real salaries,95132.95
