"Year","Per Student","Per Faculty Member"
"1999","263645.00","2865406.54"
"2000","299489.00","3286554.25"
"2001","279635.00","3057709.50"
"2002","254972.00","2721906.65"
"2003","234006.00","2535563.66"
"2004","265269.00","2877665.07"
"2005","300691.00","3182788.60"
"2006","325006.00","3344353.17"
"2007","366847.00","3722155.17"
"2008","367679.00","3694508.94"
"2009","261756.00","2799020.50"
"2010","293928.00","3065999.09"
"2011","336524.00","3647749.54"
"2012","321218.00","3382233.92"
"2013","350912.00","3605926.85"
"2014","401326.00","3968423.96"
"2015","417840.00","4235375.38"
"2016","397496.00","3858931.22"
"2017","426074.00","4102099.05"
"2018","459572.00","4321379.04"
"2019","485760.00","4395766.38"
"2020","456812.00","4484445.29"
