Sex,Team,Year ,Games,Wins,Losses,Ties,WinPercent,Tenure
Womens,WBasketball,2013,32,16,16,0,0.500,13 - '16
Womens,WFieldHockey,2013,20,6,14,0,0.300,13 - '16
Womens,Wlacrosse,2013,11,11,7,0,0.611,13 - '16
Womens,Wsoccer,2013,21,6,11,4,0.381,13 - '16
Mens,MBaseball,2013,49,18,31,0,0.367,13 - '16
Mens,Mbasketball,2013,33,20,13,0,0.606,13 - '16
Mens,Mfootball,2013,1,1,11,0,0.083,13 - '16
Mens,MSoccer,2013,19,8,10,1,0.447,13 - '16
Womens,WBasketball,2014,30,5,25,0,0.167,13 - '16
Womens,WFieldHockey,2014,19,3,16,0,0.158,13 - '16
Womens,Wlacrosse,2014,19,12,7,0,0.632,13 - '16
Womens,Wsoccer,2014,19,5,12,2,0.316,13 - '16
Mens,MBaseball,2014,48,29,19,0,0.604,13 - '16
Mens,Mbasketball,2014,32,24,8,0,0.750,13 - '16
Mens,Mfootball,2014,12,1,11,0,0.083,13 - '16
Mens,MSoccer,2014,18,10,2,6,0.722,13 - '16
Womens,WBasketball,2015,27,11,16,0,0.367,13 - '16
Womens,WFieldHockey,2015,19,8,11,0,0.421,13 - '16
Womens,Wlacrosse,2015,16,6,10,0,0.375,13 - '16
Womens,Wsoccer,2015,19,7,12,0,0.368,13 - '16
Mens,MBaseball,2015,50,28,22,0,0.560,13 - '16
Mens,Mbasketball,2015,33,20,13,0,0.606,13 - '16
Mens,Mfootball,2015,11,2,9,0,0.182,13 - '16
Mens,MSoccer,2015,18,5,10,3,0.361,13 - '16
Womens,WBasketball,2016,29,6,23,0,0.207,13 - '16
Womens,WFieldHockey,2016,19,6,13,0,0.316,13 - '16
Womens,Wlacrosse,2016,17,8,9,0,0.471,13 - '16
Womens,Wsoccer,2016,19,5,13,1,0.289,13 - '16
Mens,MBaseball,2016,54,28,26,0,0.519,13 - '16
Mens,Mbasketball,2016,32,17,15,0,0.531,13 - '16
Mens,Mfootball,2016,11,2,9,0,0.182,13 - '16
Mens,MSoccer,2016,17,4,12,1,0.265,13 - '16
Womens,WBasketball,2017,30,12,18,0,0.400,17 - '19
Womens,WFieldHockey,2017,18,2,16,0,0.111,17 - '19
Womens,Wlacrosse,2017,18,8,10,0,0.444,17 - '19
Womens,Wsoccer,2017,19,2,14,3,0.184,17 - '19
Mens,MBaseball,2017,61,35,26,0,0.574,17 - '19
Mens,Mbasketball,2017,33,21,12,0,0.636,17 - '19
Mens,Mfootball,2017,11,2,9,0,0.182,17 - '19
Mens,MSoccer,2017,17,8,7,2,0.529,17 - '19
Womens,WBasketball,2018,32,17,15,0,0.531,17 - '19
Womens,WFieldHockey,2018,18,5,13,0,0.278,17 - '19
Womens,Wlacrosse,2018,17,8,9,0,0.471,17 - '19
