"Year","Professor Type","Salary"
"1999","all","95737.44"
"1999","full","118499.15"
"1999","assoc","84106.44"
"1999","assist","68567.89"
"2000","all","98314.24"
"2000","full","120336.19"
"2000","assoc","86407.47"
"2000","assist","68847.92"
"2001","all","96441.50"
"2001","full","122184.96"
"2001","assoc","87548.52"
"2001","assist","71244.72"
"2002","all","98782.25"
"2002","full","124735.33"
"2002","assoc","91073.16"
"2002","assist","71824.90"
"2003","all","101582.40"
"2003","full","127045.88"
"2003","assoc","94992.48"
"2003","assist","77614.45"
"2004","all","113327.87"
"2004","full","135908.77"
"2004","assoc","105092.97"
"2004","assist","84679.73"
"2005","all","113029.54"
"2005","full","136785.54"
"2005","assoc","102905.57"
"2005","assist","80994.38"
"2006","all","113745.96"
"2006","full","137334.51"
"2006","assoc","102225.14"
"2006","assist","76297.52"
"2007","all","118542.80"
"2007","full","139887.02"
"2007","assoc","106370.36"
"2007","assist","83860.32"
"2008","all","113222.19"
"2008","full","134946.54"
"2008","assoc","102143.64"
"2008","assist","75018.25"
"2009","all","114616.44"
"2009","full","135710.35"
"2009","assoc","98883.78"
"2009","assist","71979.86"
"2010","all","112913.36"
"2010","full","132801.05"
"2010","assoc","97786.32"
"2010","assist","72093.49"
"2011","all","112873.86"
"2011","full","133124.42"
"2011","assoc","99181.72"
"2011","assist","77205.26"
"2012","all","112617.27"
"2012","full","135365.06"
"2012","assoc","100768.22"
"2012","assist","78223.35"
"2013","all","117099.40"
"2013","full","138430.60"
"2013","assoc","102212.00"
"2013","assist","81658.50"
"2014","all","116644.44"
"2014","full","140476.20"
"2014","assoc","103744.68"
"2014","assist","80131.56"
"2015","all","118718.96"
"2015","full","140171.30"
"2015","assoc","106356.43"
"2015","assist","82091.10"
"2016","all","114707.40"
"2016","full","139827.47"
"2016","assoc","108464.04"
"2016","assist","78909.99"
"2017","all","113941.11"
"2017","full","137673.52"
"2017","assoc","104273.29"
"2017","assist","79024.61"
"2018","all","110116.90"
"2018","full","137488.17"
"2018","assoc","101035.40"
"2018","assist","75825.51"
"2019","all","105279.20"
"2019","full","137672.80"
"2019","assoc","102242.30"
"2019","assist","84020.90"
"2020","all","102411.45"
"2020","full","134729.29"
"2020","assoc","98242.92"
"2020","assist","79876.90"
