School,rank,salary type,salary
Amherst,all_fac_2020,real salaries,"115,573"
Amherst,full_2020,real salaries,"155,833"
Amherst,assoc_2020,real salaries,"110,986"
Amherst,assist_2020,real salaries,"93,329"
Amherst,all_fac_2020,cola-adjusted salaries,"125,628"
Amherst,full_2020,cola-adjusted salaries,"142,275"
Amherst,assoc_2020,cola-adjusted salaries,"101,330"
Amherst,assist_2020,cola-adjusted salaries,"85,859"
Bates,all_fac_2020,real salaries,"101,539"
Bates,full_2020,real salaries,"134,487"
Bates,assoc_2020,real salaries,"105,217"
Bates,assist_2020,real salaries,"85,862"
Bates,all_fac_2020,cola-adjusted salaries,"115,652"
Bates,full_2020,cola-adjusted salaries,"153,181"
Bates,assoc_2020,cola-adjusted salaries,"119,842"
Bates,assist_2020,cola-adjusted salaries,"85,862"
Bowdoin,all_fac_2020,real salaries,"114,601"
Bowdoin,full_2020,real salaries,"146,857"
Bowdoin,assoc_2020,real salaries,"113,680"
Bowdoin,assist_2020,real salaries,"91,352"
Bowdoin,all_fac_2020,cola-adjusted salaries,"107,266"
Bowdoin,full_2020,cola-adjusted salaries,"137,458"
Bowdoin,assoc_2020,cola-adjusted salaries,"106,405"
Bowdoin,assist_2020,cola-adjusted salaries,"85,506"
Carleton,all_fac_2020,real salaries,117620.1
Carleton,full_2020,real salaries,141305.4
Carleton,assoc_2020,real salaries,107210.25
Carleton,assist_2020,real salaries,88513.61
Carleton,all_fac_2020,cola-adjusted salaries,"114,797"
Carleton,full_2020,cola-adjusted salaries,"137,914"
Carleton,assoc_2020,cola-adjusted salaries,"104,637"
Carleton,assist_2020,cola-adjusted salaries,"86,389"
Claremont McKenna,all_fac_2020,real salaries,138183.2
Claremont McKenna,full_2020,real salaries,176097.86
Claremont McKenna,assoc_2020,real salaries,128041.61
Claremont McKenna,assist_2020,real salaries,108669.75
Claremont McKenna,all_fac_2020,cola-adjusted salaries,"47,397"
Claremont McKenna,full_2020,cola-adjusted salaries,"60,402"
Claremont McKenna,assoc_2020,cola-adjusted salaries,"43,918"
Claremont McKenna,assist_2020,cola-adjusted salaries,"37,274"
Colby,all_fac_2020,real salaries,111341.34
Colby,full_2020,real salaries,145970.84
Colby,assoc_2020,real salaries,105841.43
Colby,assist_2020,real salaries,88083.89
Colby,all_fac_2020,cola-adjusted salaries,"135,057"
Colby,full_2020,cola-adjusted salaries,"177,063"
Colby,assoc_2020,cola-adjusted salaries,"128,386"
Colby,assist_2020,cola-adjusted salaries,"106,846"
Colgate,all_fac_2020,real salaries,109417.39
Colgate,full_2020,real salaries,151653.61
Colgate,assoc_2020,real salaries,108479.27
Colgate,assist_2020,real salaries,92464.38
Colgate,all_fac_2020,cola-adjusted salaries,"126,268"
Colgate,full_2020,cola-adjusted salaries,"175,008"
Colgate,assoc_2020,cola-adjusted salaries,"125,185"
Colgate,assist_2020,cola-adjusted salaries,"106,704"
Davidson,all_fac_2020,real salaries,102411.45
Davidson,full_2020,real salaries,134729.29
Davidson,assoc_2020,real salaries,98242.92
Davidson,assist_2020,real salaries,79876.9
Davidson,all_fac_2020,cola-adjusted salaries,"85,206"
Davidson,full_2020,cola-adjusted salaries,"112,095"
Davidson,assoc_2020,cola-adjusted salaries,"81,738"
Davidson,assist_2020,cola-adjusted salaries,"66,458"
Furman,all_fac_2020,real salaries,87946.7
Furman,full_2020,real salaries,102722.95
Furman,assoc_2020,real salaries,82983.13
Furman,assist_2020,real salaries,70363.92
Furman,all_fac_2020,cola-adjusted salaries,"97,885"
Furman,full_2020,cola-adjusted salaries,"114,331"
