"Year","Fee Type","Adjusted Tuition Fees"
"1999","Tuition/Fees","22228.00"
"1999","2020 1$ EQV","1.55"
"1999","Inf/Adj","34530.92"
"2000","Tuition/Fees","23094.00"
"2000","2021 1$ EQV","1.50"
"2000","Inf/Adj","34709.53"
"2001","Tuition/Fees","23995.00"
"2001","2022 1$ EQV","1.46"
"2001","Inf/Adj","35085.71"
"2002","Tuition/Fees","24930.00"
"2002","2023 1$ EQV","1.44"
"2002","Inf/Adj","35865.25"
"2003","Tuition/Fees","25902.27"
"2003","2024 1$ EQV","1.41"
"2003","Inf/Adj","36433.65"
"2004","Tuition/Fees","27171.48"
"2004","2025 1$ EQV","1.37"
"2004","Inf/Adj","37227.52"
"2005","Tuition/Fees","28667.00"
"2005","2026 1$ EQV","1.33"
"2005","Inf/Adj","37989.43"
"2006","Tuition/Fees","30194.00"
"2006","2027 1$ EQV","1.28"
"2006","Inf/Adj","38762.60"
"2007","Tuition/Fees","31794.00"
"2007","2028 1$ EQV","1.25"
"2007","Inf/Adj","39686.30"
"2008","Tuition/Fees","33479.00"
"2008","2029 1$ EQV","1.20"
"2008","Inf/Adj","40244.37"
"2009","Tuition/Fees","35124.00"
"2009","2030 1$ EQV","1.21"
"2009","Inf/Adj","42372.54"
"2010","Tuition/Fees","36683.00"
"2010","2031 1$ EQV","1.19"
"2010","Inf/Adj","43539.11"
"2011","Tuition/Fees","38886.00"
"2011","2032 1$ EQV","1.15"
"2011","Inf/Adj","44741.57"
"2012","Tuition/Fees","40809.00"
"2012","2033 1$ EQV","1.13"
"2012","Inf/Adj","46002.15"
"2013","Tuition/Fees","42849.00"
"2013","2034 1$ EQV","1.11"
"2013","Inf/Adj","47604.46"
"2014","Tuition/Fees","45377.00"
"2014","2035 1$ EQV","1.09"
"2014","Inf/Adj","49608.28"
"2015","Tuition/Fees","46966.00"
"2015","2036 1$ EQV","1.09"
"2015","Inf/Adj","51284.58"
"2016","Tuition/Fees","48376.00"
"2016","2037 1$ EQV","1.08"
"2016","Inf/Adj","52166.15"
"2017","Tuition/Fees","49949.00"
"2017","2038 1$ EQV","1.06"
"2017","Inf/Adj","52738.87"
"2018","Tuition/Fees","51447.00"
"2018","2039 1$ EQV","1.03"
"2018","Inf/Adj","53025.40"
"2019","Tuition/Fees","52524.00"
"2019","2040 1$ EQV","1.01"
"2019","Inf/Adj","53171.98"
"2020","Tuition/Fees","55000.00"
"2020","2041 1$ EQV","1.00"
"2020","Inf/Adj","55000.00"
